date,count_incident,datetime_imported
2022-01-01,4.0,2023-07-09 15:04:27.770878
2022-01-02,3.0,2023-07-09 15:04:27.770878
2022-01-03,0.0,2023-07-09 15:04:27.770878
2022-01-04,6.0,2023-07-09 15:04:27.770878
2022-01-05,6.0,2023-07-09 15:04:27.770878
2022-01-06,4.0,2023-07-09 15:04:27.770878
2022-01-07,8.0,2023-07-09 15:04:27.770878
2022-01-08,0.0,2023-07-09 15:04:27.770878
2022-01-09,1.0,2023-07-09 15:04:27.770878
2022-01-10,6.0,2023-07-09 15:04:27.770878
2022-01-11,6.0,2023-07-09 15:04:27.770878
2022-01-12,6.0,2023-07-09 15:04:27.770878
2022-01-13,10.0,2023-07-09 15:04:27.770878
2022-01-14,5.0,2023-07-09 15:04:27.770878
2022-01-15,2.0,2023-07-09 15:04:27.770878
2022-01-16,3.0,2023-07-09 15:04:27.770878
2022-01-17,9.0,2023-07-09 15:04:27.770878
2022-01-18,2.0,2023-07-09 15:04:27.770878
2022-01-19,6.0,2023-07-09 15:04:27.770878
2022-01-20,4.0,2023-07-09 15:04:27.770878
2022-01-21,6.0,2023-07-09 15:04:27.770878
2022-01-22,5.0,2023-07-09 15:04:27.770878
2022-01-23,1.0,2023-07-09 15:04:27.770878
2022-01-24,2.0,2023-07-09 15:04:27.770878
2022-01-25,1.0,2023-07-09 15:04:27.770878
2022-01-26,1.0,2023-07-09 15:04:27.770878
2022-01-27,3.0,2023-07-09 15:04:27.770878
2022-01-28,4.0,2023-07-09 15:04:27.770878
2022-01-29,1.0,2023-07-09 15:04:27.770878
2022-01-30,2.0,2023-07-09 15:04:27.770878
2022-01-31,6.0,2023-07-09 15:04:27.770878
2022-02-01,4.0,2023-07-09 15:04:27.770878
2022-02-02,5.0,2023-07-09 15:04:27.770878
2022-02-03,5.0,2023-07-09 15:04:27.770878
2022-02-04,5.0,2023-07-09 15:04:27.770878
2022-02-05,4.0,2023-07-09 15:04:27.770878
2022-02-06,2.0,2023-07-09 15:04:27.770878
2022-02-07,5.0,2023-07-09 15:04:27.770878
2022-02-08,4.0,2023-07-09 15:04:27.770878
2022-02-09,4.0,2023-07-09 15:04:27.770878
2022-02-10,6.0,2023-07-09 15:04:27.770878
2022-02-11,6.0,2023-07-09 15:04:27.770878
2022-02-12,3.0,2023-07-09 15:04:27.770878
2022-02-13,0.0,2023-07-09 15:04:27.770878
2022-02-14,4.0,2023-07-09 15:04:27.770878
2022-02-15,4.0,2023-07-09 15:04:27.770878
2022-02-16,0.0,2023-07-09 15:04:27.770878
2022-02-17,4.0,2023-07-09 15:04:27.770878
2022-02-18,7.0,2023-07-09 15:04:27.770878
2022-02-19,1.0,2023-07-09 15:04:27.770878
2022-02-20,1.0,2023-07-09 15:04:27.770878
2022-02-21,7.0,2023-07-09 15:04:27.770878
2022-02-22,5.0,2023-07-09 15:04:27.770878
2022-02-23,4.0,2023-07-09 15:04:27.770878
2022-02-24,4.0,2023-07-09 15:04:27.770878
2022-02-25,7.0,2023-07-09 15:04:27.770878
2022-02-26,7.0,2023-07-09 15:04:27.770878
2022-02-27,3.0,2023-07-09 15:04:27.770878
2022-02-28,3.0,2023-07-09 15:04:27.770878
2022-03-01,5.0,2023-07-09 15:04:27.770878
2022-03-02,4.0,2023-07-09 15:04:27.770878
2022-03-03,7.0,2023-07-09 15:04:27.770878
2022-03-04,8.0,2023-07-09 15:04:27.770878
2022-03-05,3.0,2023-07-09 15:04:27.770878
2022-03-06,3.0,2023-07-09 15:04:27.770878
2022-03-07,1.0,2023-07-09 15:04:27.770878
2022-03-08,4.0,2023-07-09 15:04:27.770878
2022-03-09,10.0,2023-07-09 15:04:27.770878
2022-03-10,0.0,2023-07-09 15:04:27.770878
2022-03-11,10.0,2023-07-09 15:04:27.770878
2022-03-12,1.0,2023-07-09 15:04:27.770878
2022-03-13,1.0,2023-07-09 15:04:27.770878
2022-03-14,8.0,2023-07-09 15:04:27.770878
2022-03-15,14.0,2023-07-09 15:04:27.770878
2022-03-16,5.0,2023-07-09 15:04:27.770878
2022-03-17,13.0,2023-07-09 15:04:27.770878
2022-03-18,7.0,2023-07-09 15:04:27.770878
2022-03-19,2.0,2023-07-09 15:04:27.770878
2022-03-20,3.0,2023-07-09 15:04:27.770878
2022-03-21,10.0,2023-07-09 15:04:27.770878
2022-03-22,4.0,2023-07-09 15:04:27.770878
2022-03-23,8.0,2023-07-09 15:04:27.770878
2022-03-24,7.0,2023-07-09 15:04:27.770878
2022-03-25,1.0,2023-07-09 15:04:27.770878
2022-03-26,2.0,2023-07-09 15:04:27.770878
2022-03-27,0.0,2023-07-09 15:04:27.770878
2022-03-28,4.0,2023-07-09 15:04:27.770878
2022-03-29,9.0,2023-07-09 15:04:27.770878
2022-03-30,7.0,2023-07-09 15:04:27.770878
2022-03-31,4.0,2023-07-09 15:04:27.770878
2022-04-01,7.0,2023-07-09 15:04:27.770878
2022-04-02,1.0,2023-07-09 15:04:27.770878
2022-04-03,0.0,2023-07-09 15:04:27.770878
2022-04-04,7.0,2023-07-09 15:04:27.770878
2022-04-05,8.0,2023-07-09 15:04:27.770878
2022-04-06,2.0,2023-07-09 15:04:27.770878
2022-04-07,4.0,2023-07-09 15:04:27.770878
2022-04-08,7.0,2023-07-09 15:04:27.770878
2022-04-09,6.0,2023-07-09 15:04:27.770878
2022-04-10,1.0,2023-07-09 15:04:27.770878
2022-04-11,9.0,2023-07-09 15:04:27.770878
2022-04-12,1.0,2023-07-09 15:04:27.770878
2022-04-13,1.0,2023-07-09 15:04:27.770878
2022-04-14,11.0,2023-07-09 15:04:27.770878
2022-04-15,3.0,2023-07-09 15:04:27.770878
2022-04-16,1.0,2023-07-09 15:04:27.770878
2022-04-17,3.0,2023-07-09 15:04:27.770878
2022-04-18,7.0,2023-07-09 15:04:27.770878
2022-04-19,5.0,2023-07-09 15:04:27.770878
2022-04-20,5.0,2023-07-09 15:04:27.770878
2022-04-21,6.0,2023-07-09 15:04:27.770878
2022-04-22,10.0,2023-07-09 15:04:27.770878
2022-04-23,3.0,2023-07-09 15:04:27.770878
2022-04-24,3.0,2023-07-09 15:04:27.770878
2022-04-25,8.0,2023-07-09 15:04:27.770878
2022-04-26,2.0,2023-07-09 15:04:27.770878
2022-04-27,10.0,2023-07-09 15:04:27.770878
2022-04-28,7.0,2023-07-09 15:04:27.770878
2022-04-29,10.0,2023-07-09 15:04:27.770878
2022-04-30,2.0,2023-07-09 15:04:27.770878
2022-05-01,1.0,2023-07-09 15:04:27.770878
2022-05-02,2.0,2023-07-09 15:04:27.770878
2022-05-03,9.0,2023-07-09 15:04:27.770878
2022-05-04,0.0,2023-07-09 15:04:27.770878
2022-05-05,11.0,2023-07-09 15:04:27.770878
2022-05-06,12.0,2023-07-09 15:04:27.770878
2022-05-07,3.0,2023-07-09 15:04:27.770878
2022-05-08,3.0,2023-07-09 15:04:27.770878
2022-05-09,5.0,2023-07-09 15:04:27.770878
2022-05-10,4.0,2023-07-09 15:04:27.770878
2022-05-11,14.0,2023-07-09 15:04:27.770878
2022-05-12,4.0,2023-07-09 15:04:27.770878
2022-05-13,6.0,2023-07-09 15:04:27.770878
2022-05-14,2.0,2023-07-09 15:04:27.770878
2022-05-15,2.0,2023-07-09 15:04:27.770878
2022-05-16,0.0,2023-07-09 15:04:27.770878
2022-05-17,4.0,2023-07-09 15:04:27.770878
2022-05-18,4.0,2023-07-09 15:04:27.770878
2022-05-19,2.0,2023-07-09 15:04:27.770878
2022-05-20,12.0,2023-07-09 15:04:27.770878
2022-05-21,5.0,2023-07-09 15:04:27.770878
2022-05-22,3.0,2023-07-09 15:04:27.770878
2022-05-23,8.0,2023-07-09 15:04:27.770878
2022-05-24,8.0,2023-07-09 15:04:27.770878
2022-05-25,3.0,2023-07-09 15:04:27.770878
2022-05-26,11.0,2023-07-09 15:04:27.770878
2022-05-27,7.0,2023-07-09 15:04:27.770878
2022-05-28,6.0,2023-07-09 15:04:27.770878
2022-05-29,4.0,2023-07-09 15:04:27.770878
2022-05-30,9.0,2023-07-09 15:04:27.770878
2022-05-31,7.0,2023-07-09 15:04:27.770878
2022-06-01,6.0,2023-07-09 15:04:27.770878
2022-06-02,7.0,2023-07-09 15:04:27.770878
2022-06-03,3.0,2023-07-09 15:04:27.770878
2022-06-04,2.0,2023-07-09 15:04:27.770878
2022-06-05,1.0,2023-07-09 15:04:27.770878
2022-06-06,9.0,2023-07-09 15:04:27.770878
2022-06-07,9.0,2023-07-09 15:04:27.770878
2022-06-08,13.0,2023-07-09 15:04:27.770878
2022-06-09,13.0,2023-07-09 15:04:27.770878
2022-06-10,13.0,2023-07-09 15:04:27.770878
2022-06-11,12.0,2023-07-09 15:04:27.770878
2022-06-12,0.0,2023-07-09 15:04:27.770878
2022-06-13,11.0,2023-07-09 15:04:27.770878
2022-06-14,7.0,2023-07-09 15:04:27.770878
2022-06-15,9.0,2023-07-09 15:04:27.770878
2022-06-16,9.0,2023-07-09 15:04:27.770878
2022-06-17,11.0,2023-07-09 15:04:27.770878
2022-06-18,2.0,2023-07-09 15:04:27.770878
2022-06-19,1.0,2023-07-09 15:04:27.770878
2022-06-20,10.0,2023-07-09 15:04:27.770878
2022-06-21,12.0,2023-07-09 15:04:27.770878
2022-06-22,5.0,2023-07-09 15:04:27.770878
2022-06-23,4.0,2023-07-09 15:04:27.770878
2022-06-24,6.0,2023-07-09 15:04:27.770878
2022-06-25,1.0,2023-07-09 15:04:27.770878
2022-06-26,1.0,2023-07-09 15:04:27.770878
2022-06-27,4.0,2023-07-09 15:04:27.770878
2022-06-28,2.0,2023-07-09 15:04:27.770878
2022-06-29,2.0,2023-07-09 15:04:27.770878
2022-06-30,6.0,2023-07-09 15:04:27.770878
2022-07-01,9.0,2023-07-09 15:04:27.770878
2022-07-02,2.0,2023-07-09 15:04:27.770878
2022-07-03,1.0,2023-07-09 15:04:27.770878
2022-07-04,8.0,2023-07-09 15:04:27.770878
2022-07-05,14.0,2023-07-09 15:04:27.770878
2022-07-06,7.0,2023-07-09 15:04:27.770878
2022-07-07,5.0,2023-07-09 15:04:27.770878
2022-07-08,4.0,2023-07-09 15:04:27.770878
2022-07-09,1.0,2023-07-09 15:04:27.770878
2022-07-10,2.0,2023-07-09 15:04:27.770878
2022-07-11,5.0,2023-07-09 15:04:27.770878
2022-07-12,10.0,2023-07-09 15:04:27.770878
2022-07-13,3.0,2023-07-09 15:04:27.770878
2022-07-14,4.0,2023-07-09 15:04:27.770878
2022-07-15,4.0,2023-07-09 15:04:27.770878
2022-07-16,4.0,2023-07-09 15:04:27.770878
2022-07-17,3.0,2023-07-09 15:04:27.770878
2022-07-18,7.0,2023-07-09 15:04:27.770878
2022-07-19,4.0,2023-07-09 15:04:27.770878
2022-07-20,8.0,2023-07-09 15:04:27.770878
2022-07-21,13.0,2023-07-09 15:04:27.770878
2022-07-22,8.0,2023-07-09 15:04:27.770878
2022-07-23,0.0,2023-07-09 15:04:27.770878
2022-07-24,1.0,2023-07-09 15:04:27.770878
2022-07-25,7.0,2023-07-09 15:04:27.770878
2022-07-26,14.0,2023-07-09 15:04:27.770878
2022-07-27,13.0,2023-07-09 15:04:27.770878
2022-07-28,4.0,2023-07-09 15:04:27.770878
2022-07-29,2.0,2023-07-09 15:04:27.770878
2022-07-30,5.0,2023-07-09 15:04:27.770878
2022-07-31,1.0,2023-07-09 15:04:27.770878
2022-08-01,9.0,2023-07-09 15:04:27.770878
2022-08-02,7.0,2023-07-09 15:04:27.770878
2022-08-03,11.0,2023-07-09 15:04:27.770878
2022-08-04,3.0,2023-07-09 15:04:27.770878
2022-08-05,15.0,2023-07-09 15:04:27.770878
2022-08-06,1.0,2023-07-09 15:04:27.770878
2022-08-07,3.0,2023-07-09 15:04:27.770878
2022-08-08,6.0,2023-07-09 15:04:27.770878
2022-08-09,4.0,2023-07-09 15:04:27.770878
2022-08-10,10.0,2023-07-09 15:04:27.770878
2022-08-11,7.0,2023-07-09 15:04:27.770878
2022-08-12,3.0,2023-07-09 15:04:27.770878
2022-08-13,1.0,2023-07-09 15:04:27.770878
2022-08-14,1.0,2023-07-09 15:04:27.770878
2022-08-15,9.0,2023-07-09 15:04:27.770878
2022-08-16,7.0,2023-07-09 15:04:27.770878
2022-08-17,8.0,2023-07-09 15:04:27.770878
2022-08-18,3.0,2023-07-09 15:04:27.770878
2022-08-19,6.0,2023-07-09 15:04:27.770878
2022-08-20,2.0,2023-07-09 15:04:27.770878
2022-08-21,1.0,2023-07-09 15:04:27.770878
2022-08-22,13.0,2023-07-09 15:04:27.770878
2022-08-23,6.0,2023-07-09 15:04:27.770878
2022-08-24,5.0,2023-07-09 15:04:27.770878
2022-08-25,13.0,2023-07-09 15:04:27.770878
2022-08-26,4.0,2023-07-09 15:04:27.770878
2022-08-27,3.0,2023-07-09 15:04:27.770878
2022-08-28,0.0,2023-07-09 15:04:27.770878
2022-08-29,6.0,2023-07-09 15:04:27.770878
2022-08-30,10.0,2023-07-09 15:04:27.770878
2022-08-31,8.0,2023-07-09 15:04:27.770878
2022-09-01,6.0,2023-07-09 15:04:27.770878
2022-09-02,6.0,2023-07-09 15:04:27.770878
2022-09-03,0.0,2023-07-09 15:04:27.770878
2022-09-04,2.0,2023-07-09 15:04:27.770878
2022-09-05,7.0,2023-07-09 15:04:27.770878
2022-09-06,5.0,2023-07-09 15:04:27.770878
2022-09-07,5.0,2023-07-09 15:04:27.770878
2022-09-08,11.0,2023-07-09 15:04:27.770878
2022-09-09,5.0,2023-07-09 15:04:27.770878
2022-09-10,2.0,2023-07-09 15:04:27.770878
2022-09-11,0.0,2023-07-09 15:04:27.770878
2022-09-12,7.0,2023-07-09 15:04:27.770878
2022-09-13,5.0,2023-07-09 15:04:27.770878
2022-09-14,10.0,2023-07-09 15:04:27.770878
2022-09-15,9.0,2023-07-09 15:04:27.770878
2022-09-16,10.0,2023-07-09 15:04:27.770878
2022-09-17,1.0,2023-07-09 15:04:27.770878
2022-09-18,2.0,2023-07-09 15:04:27.770878
2022-09-19,8.0,2023-07-09 15:04:27.770878
2022-09-20,6.0,2023-07-09 15:04:27.770878
2022-09-21,14.0,2023-07-09 15:04:27.770878
2022-09-22,7.0,2023-07-09 15:04:27.770878
2022-09-23,7.0,2023-07-09 15:04:27.770878
2022-09-24,4.0,2023-07-09 15:04:27.770878
2022-09-25,2.0,2023-07-09 15:04:27.770878
2022-09-26,9.0,2023-07-09 15:04:27.770878
2022-09-27,7.0,2023-07-09 15:04:27.770878
2022-09-28,6.0,2023-07-09 15:04:27.770878
2022-09-29,5.0,2023-07-09 15:04:27.770878
2022-09-30,8.0,2023-07-09 15:04:27.770878
2022-10-01,2.0,2023-07-09 15:04:27.770878
2022-10-02,5.0,2023-07-09 15:04:27.770878
2022-10-03,12.0,2023-07-09 15:04:27.770878
