date,count_incident,datetime_imported
2022-10-04,9.0,2023-07-09 15:04:27.770878
2022-10-05,9.0,2023-07-09 15:04:27.770878
2022-10-06,7.0,2023-07-09 15:04:27.770878
2022-10-07,5.0,2023-07-09 15:04:27.770878
2022-10-08,3.0,2023-07-09 15:04:27.770878
2022-10-09,0.0,2023-07-09 15:04:27.770878
2022-10-10,14.0,2023-07-09 15:04:27.770878
2022-10-11,13.0,2023-07-09 15:04:27.770878
2022-10-12,4.0,2023-07-09 15:04:27.770878
2022-10-13,4.0,2023-07-09 15:04:27.770878
2022-10-14,7.0,2023-07-09 15:04:27.770878
2022-10-15,2.0,2023-07-09 15:04:27.770878
2022-10-16,1.0,2023-07-09 15:04:27.770878
2022-10-17,4.0,2023-07-09 15:04:27.770878
2022-10-18,5.0,2023-07-09 15:04:27.770878
2022-10-19,10.0,2023-07-09 15:04:27.770878
2022-10-20,4.0,2023-07-09 15:04:27.770878
2022-10-21,6.0,2023-07-09 15:04:27.770878
2022-10-22,3.0,2023-07-09 15:04:27.770878
2022-10-23,3.0,2023-07-09 15:04:27.770878
2022-10-24,0.0,2023-07-09 15:04:27.770878
2022-10-25,2.0,2023-07-09 15:04:27.770878
2022-10-26,4.0,2023-07-09 15:04:27.770878
2022-10-27,7.0,2023-07-09 15:04:27.770878
2022-10-28,7.0,2023-07-09 15:04:27.770878
2022-10-29,4.0,2023-07-09 15:04:27.770878
2022-10-30,1.0,2023-07-09 15:04:27.770878
2022-10-31,11.0,2023-07-09 15:04:27.770878
2022-11-01,5.0,2023-07-09 15:04:27.770878
2022-11-02,10.0,2023-07-09 15:04:27.770878
2022-11-03,5.0,2023-07-09 15:04:27.770878
2022-11-04,10.0,2023-07-09 15:04:27.770878
2022-11-05,0.0,2023-07-09 15:04:27.770878
2022-11-06,8.0,2023-07-09 15:04:27.770878
2022-11-07,3.0,2023-07-09 15:04:27.770878
2022-11-08,2.0,2023-07-09 15:04:27.770878
2022-11-09,8.0,2023-07-09 15:04:27.770878
2022-11-10,7.0,2023-07-09 15:04:27.770878
2022-11-11,6.0,2023-07-09 15:04:27.770878
2022-11-12,2.0,2023-07-09 15:04:27.770878
2022-11-13,2.0,2023-07-09 15:04:27.770878
2022-11-14,12.0,2023-07-09 15:04:27.770878
2022-11-15,9.0,2023-07-09 15:04:27.770878
2022-11-16,5.0,2023-07-09 15:04:27.770878
2022-11-17,4.0,2023-07-09 15:04:27.770878
2022-11-18,3.0,2023-07-09 15:04:27.770878
2022-11-19,1.0,2023-07-09 15:04:27.770878
2022-11-20,2.0,2023-07-09 15:04:27.770878
2022-11-21,6.0,2023-07-09 15:04:27.770878
2022-11-22,11.0,2023-07-09 15:04:27.770878
2022-11-23,3.0,2023-07-09 15:04:27.770878
2022-11-24,5.0,2023-07-09 15:04:27.770878
2022-11-25,3.0,2023-07-09 15:04:27.770878
2022-11-26,0.0,2023-07-09 15:04:27.770878
2022-11-27,1.0,2023-07-09 15:04:27.770878
2022-11-28,2.0,2023-07-09 15:04:27.770878
2022-11-29,3.0,2023-07-09 15:04:27.770878
2022-11-30,8.0,2023-07-09 15:04:27.770878
2022-12-01,9.0,2023-07-09 15:04:27.770878
2022-12-02,4.0,2023-07-09 15:04:27.770878
2022-12-03,0.0,2023-07-09 15:04:27.770878
2022-12-04,2.0,2023-07-09 15:04:27.770878
2022-12-05,1.0,2023-07-09 15:04:27.770878
2022-12-06,7.0,2023-07-09 15:04:27.770878
2022-12-07,6.0,2023-07-09 15:04:27.770878
2022-12-08,4.0,2023-07-09 15:04:27.770878
2022-12-09,6.0,2023-07-09 15:04:27.770878
2022-12-10,2.0,2023-07-09 15:04:27.770878
2022-12-11,1.0,2023-07-09 15:04:27.770878
2022-12-12,2.0,2023-07-09 15:04:27.770878
2022-12-13,7.0,2023-07-09 15:04:27.770878
2022-12-14,9.0,2023-07-09 15:04:27.770878
2022-12-15,7.0,2023-07-09 15:04:27.770878
2022-12-16,1.0,2023-07-09 15:04:27.770878
2022-12-17,1.0,2023-07-09 15:04:27.770878
2022-12-18,5.0,2023-07-09 15:04:27.770878
2022-12-19,9.0,2023-07-09 15:04:27.770878
2022-12-20,7.0,2023-07-09 15:04:27.770878
2022-12-21,7.0,2023-07-09 15:04:27.770878
2022-12-22,6.0,2023-07-09 15:04:27.770878
2022-12-23,5.0,2023-07-09 15:04:27.770878
2022-12-24,3.0,2023-07-09 15:04:27.770878
2022-12-25,1.0,2023-07-09 15:04:27.770878
2022-12-26,2.0,2023-07-09 15:04:27.770878
2022-12-27,5.0,2023-07-09 15:04:27.770878
2022-12-28,0.0,2023-07-09 15:04:27.770878
2022-12-29,2.0,2023-07-09 15:04:27.770878
2022-12-30,2.0,2023-07-09 15:04:27.770878
2022-12-31,2.0,2023-07-09 15:04:27.770878
2023-01-01,2.0,2023-07-09 15:04:27.770878
2023-01-02,2.0,2023-07-09 15:04:27.770878
2023-01-03,5.0,2023-07-09 15:04:27.770878
2023-01-04,8.0,2023-07-09 15:04:27.770878
2023-01-05,4.0,2023-07-09 15:04:27.770878
2023-01-06,7.0,2023-07-09 15:04:27.770878
2023-01-07,1.0,2023-07-09 15:04:27.770878
2023-01-08,2.0,2023-07-09 15:04:27.770878
2023-01-09,9.0,2023-07-09 15:04:27.770878
2023-01-10,8.0,2023-07-09 15:04:27.770878
2023-01-11,10.0,2023-07-09 15:04:27.770878
2023-01-12,8.0,2023-07-09 15:04:27.770878
2023-01-13,8.0,2023-07-09 15:04:27.770878
2023-01-14,5.0,2023-07-09 15:04:27.770878
2023-01-15,1.0,2023-07-09 15:04:27.770878
2023-01-16,5.0,2023-07-09 15:04:27.770878
2023-01-17,8.0,2023-07-09 15:04:27.770878
2023-01-18,12.0,2023-07-09 15:04:27.770878
2023-01-19,10.0,2023-07-09 15:04:27.770878
2023-01-20,7.0,2023-07-09 15:04:27.770878
2023-01-21,2.0,2023-07-09 15:04:27.770878
2023-01-22,1.0,2023-07-09 15:04:27.770878
2023-01-23,4.0,2023-07-09 15:04:27.770878
2023-01-24,7.0,2023-07-09 15:04:27.770878
2023-01-25,4.0,2023-07-09 15:04:27.770878
2023-01-26,15.0,2023-07-09 15:04:27.770878
2023-01-27,2.0,2023-07-09 15:04:27.770878
2023-01-28,2.0,2023-07-09 15:04:27.770878
2023-01-29,2.0,2023-07-09 15:04:27.770878
2023-01-30,3.0,2023-07-09 15:04:27.770878
2023-01-31,6.0,2023-07-09 15:04:27.770878
2023-02-01,4.0,2023-07-09 15:04:27.770878
2023-02-02,6.0,2023-07-09 15:04:27.770878
2023-02-03,1.0,2023-07-09 15:04:27.770878
2023-02-04,2.0,2023-07-09 15:04:27.770878
2023-02-05,0.0,2023-07-09 15:04:27.770878
2023-02-06,8.0,2023-07-09 15:04:27.770878
2023-02-07,7.0,2023-07-09 15:04:27.770878
2023-02-08,5.0,2023-07-09 15:04:27.770878
2023-02-09,9.0,2023-07-09 15:04:27.770878
2023-02-10,6.0,2023-07-09 15:04:27.770878
2023-02-11,0.0,2023-07-09 15:04:27.770878
2023-02-12,2.0,2023-07-09 15:04:27.770878
2023-02-13,13.0,2023-07-09 15:04:27.770878
2023-02-14,5.0,2023-07-09 15:04:27.770878
2023-02-15,11.0,2023-07-09 15:04:27.770878
2023-02-16,8.0,2023-07-09 15:04:27.770878
2023-02-17,11.0,2023-07-09 15:04:27.770878
2023-02-18,1.0,2023-07-09 15:04:27.770878
2023-02-19,2.0,2023-07-09 15:04:27.770878
2023-02-20,10.0,2023-07-09 15:04:27.770878
2023-02-21,5.0,2023-07-09 15:04:27.770878
2023-02-22,7.0,2023-07-09 15:04:27.770878
2023-02-23,3.0,2023-07-09 15:04:27.770878
2023-02-24,6.0,2023-07-09 15:04:27.770878
2023-02-25,2.0,2023-07-09 15:04:27.770878
2023-02-26,1.0,2023-07-09 15:04:27.770878
2023-02-27,2.0,2023-07-09 15:04:27.770878
2023-02-28,5.0,2023-07-09 15:04:27.770878
2023-03-01,9.0,2023-07-09 15:04:27.770878
2023-03-02,3.0,2023-07-09 15:04:27.770878
2023-03-03,6.0,2023-07-09 15:04:27.770878
2023-03-04,2.0,2023-07-09 15:04:27.770878
2023-03-05,0.0,2023-07-09 15:04:27.770878
2023-03-06,2.0,2023-07-09 15:04:27.770878
2023-03-07,6.0,2023-07-09 15:04:27.770878
2023-03-08,3.0,2023-07-09 15:04:27.770878
2023-03-09,4.0,2023-07-09 15:04:27.770878
2023-03-10,14.0,2023-07-09 15:04:27.770878
2023-03-11,0.0,2023-07-09 15:04:27.770878
2023-03-12,0.0,2023-07-09 15:04:27.770878
2023-03-13,6.0,2023-07-09 15:04:27.770878
2023-03-14,9.0,2023-07-09 15:04:27.770878
2023-03-15,9.0,2023-07-09 15:04:27.770878
2023-03-16,14.0,2023-07-09 15:04:27.770878
2023-03-17,6.0,2023-07-09 15:04:27.770878
2023-03-18,1.0,2023-07-09 15:04:27.770878
2023-03-19,1.0,2023-07-09 15:04:27.770878
2023-03-20,10.0,2023-07-09 15:04:27.770878
2023-03-21,7.0,2023-07-09 15:04:27.770878
2023-03-22,10.0,2023-07-09 15:04:27.770878
2023-03-23,9.0,2023-07-09 15:04:27.770878
2023-03-24,8.0,2023-07-09 15:04:27.770878
2023-03-25,2.0,2023-07-09 15:04:27.770878
2023-03-26,2.0,2023-07-09 15:04:27.770878
2023-03-27,12.0,2023-07-09 15:04:27.770878
2023-03-28,13.0,2023-07-09 15:04:27.770878
2023-03-29,5.0,2023-07-09 15:04:27.770878
2023-03-30,5.0,2023-07-09 15:04:27.770878
2023-03-31,6.0,2023-07-09 15:04:27.770878
2023-04-01,1.0,2023-07-09 15:04:27.770878
2023-04-02,2.0,2023-07-09 15:04:27.770878
2023-04-03,5.0,2023-07-09 15:04:27.770878
2023-04-04,6.0,2023-07-09 15:04:27.770878
2023-04-05,8.0,2023-07-09 15:04:27.770878
2023-04-06,2.0,2023-07-09 15:04:27.770878
2023-04-07,4.0,2023-07-09 15:04:27.770878
2023-04-08,3.0,2023-07-09 15:04:27.770878
2023-04-09,0.0,2023-07-09 15:04:27.770878
2023-04-10,6.0,2023-07-09 15:04:27.770878
2023-04-11,10.0,2023-07-09 15:04:27.770878
2023-04-12,6.0,2023-07-09 15:04:27.770878
2023-04-13,3.0,2023-07-09 15:04:27.770878
2023-04-14,2.0,2023-07-09 15:04:27.770878
2023-04-15,3.0,2023-07-09 15:04:27.770878
2023-04-16,5.0,2023-07-09 15:04:27.770878
2023-04-17,4.0,2023-07-09 15:04:27.770878
2023-04-18,3.0,2023-07-09 15:04:27.770878
2023-04-19,3.0,2023-07-09 15:04:27.770878
2023-04-20,10.0,2023-07-09 15:04:27.770878
2023-04-21,16.0,2023-07-09 15:04:27.770878
2023-04-22,5.0,2023-07-09 15:04:27.770878
2023-04-23,1.0,2023-07-09 15:04:27.770878
2023-04-24,5.0,2023-07-09 15:04:27.770878
2023-04-25,3.0,2023-07-09 15:04:27.770878
2023-04-26,9.0,2023-07-09 15:04:27.770878
2023-04-27,4.0,2023-07-09 15:04:27.770878
2023-04-28,5.0,2023-07-09 15:04:27.770878
2023-04-29,2.0,2023-07-09 15:04:27.770878
2023-04-30,2.0,2023-07-09 15:04:27.770878
2023-05-01,1.0,2023-07-09 15:04:27.770878
2023-05-02,7.0,2023-07-09 15:04:27.770878
2023-05-03,4.0,2023-07-09 15:04:27.770878
2023-05-04,2.0,2023-07-09 15:04:27.770878
2023-05-05,4.0,2023-07-09 15:04:27.770878
2023-05-06,0.0,2023-07-09 15:04:27.770878
2023-05-07,2.0,2023-07-09 15:04:27.770878
2023-05-08,8.0,2023-07-09 15:04:27.770878
2023-05-09,5.0,2023-07-09 15:04:27.770878
2023-05-10,10.0,2023-07-09 15:04:27.770878
2023-05-11,7.0,2023-07-09 15:04:27.770878
2023-05-12,1.0,2023-07-09 15:04:27.770878
2023-05-13,2.0,2023-07-09 15:04:27.770878
2023-05-14,0.0,2023-07-09 15:04:27.770878
2023-05-15,7.0,2023-07-09 15:04:27.770878
2023-05-16,7.0,2023-07-09 15:04:27.770878
2023-05-17,2.0,2023-07-09 15:04:27.770878
2023-05-18,11.0,2023-07-09 15:04:27.770878
2023-05-19,7.0,2023-07-09 15:04:27.770878
2023-05-20,1.0,2023-07-09 15:04:27.770878
2023-05-21,3.0,2023-07-09 15:04:27.770878
2023-05-22,5.0,2023-07-09 15:04:27.770878
2023-05-23,15.0,2023-07-09 15:04:27.770878
2023-05-24,7.0,2023-07-09 15:04:27.770878
2023-05-25,9.0,2023-07-09 15:04:27.770878
2023-05-26,6.0,2023-07-09 15:04:27.770878
2023-05-27,2.0,2023-07-09 15:04:27.770878
2023-05-28,1.0,2023-07-09 15:04:27.770878
2023-05-29,4.0,2023-07-09 15:04:27.770878
2023-05-30,5.0,2023-07-09 15:04:27.770878
2023-05-31,5.0,2023-07-09 15:04:27.770878
2023-06-01,6.0,2023-07-09 15:04:27.770878
2023-06-02,4.0,2023-07-09 15:04:27.770878
2023-06-03,4.0,2023-07-09 15:04:27.770878
2023-06-04,1.0,2023-07-09 15:04:27.770878
2023-06-05,2.0,2023-07-09 15:04:27.770878
2023-06-06,9.0,2023-07-09 15:04:27.770878
2023-06-07,9.0,2023-07-09 15:04:27.770878
2023-06-08,5.0,2023-07-09 15:04:27.770878
2023-06-09,9.0,2023-07-09 15:04:27.770878
2023-06-10,5.0,2023-07-09 15:04:27.770878
2023-06-11,1.0,2023-07-09 15:04:27.770878
2023-06-12,10.0,2023-07-09 15:04:27.770878
2023-06-13,3.0,2023-07-09 15:04:27.770878
2023-06-14,7.0,2023-07-09 15:04:27.770878
2023-06-15,3.0,2023-07-09 15:04:27.770878
2023-06-16,7.0,2023-07-09 15:04:27.770878
2023-06-17,3.0,2023-07-09 15:04:27.770878
2023-06-18,2.0,2023-07-09 15:04:27.770878
2023-06-19,10.0,2023-07-09 15:04:27.770878
2023-06-20,7.0,2023-07-09 15:04:27.770878
2023-06-21,9.0,2023-07-09 15:04:27.770878
2023-06-22,10.0,2023-07-09 15:04:27.770878
2023-06-23,3.0,2023-07-09 15:04:27.770878
2023-06-24,2.0,2023-07-09 15:04:27.770878
2023-06-25,4.0,2023-07-09 15:04:27.770878
2023-06-26,11.0,2023-07-09 15:04:27.770878
2023-06-27,4.0,2023-07-09 15:04:27.770878
2023-06-28,12.0,2023-07-09 15:04:27.770878
2023-06-29,2.0,2023-07-09 15:04:27.770878
2023-06-30,5.0,2023-07-09 15:04:27.770878
2023-07-01,3.0,2023-07-09 15:04:27.770878
2023-07-02,1.0,2023-07-09 15:04:27.770878
2023-07-03,8.0,2023-07-09 15:04:27.770878
2023-07-04,13.0,2023-07-09 15:04:27.770878
2023-07-05,5.0,2023-07-09 15:04:27.770878
2023-07-06,5.0,2023-07-09 15:04:27.770878
2023-07-07,1.0,2023-07-09 15:04:27.770878
